,Players,Ratings,Season
204,Shane Long,75,2013
205,Morgan Amalfitano,75,2013
206,Nicklas Bendtner,75,2013
207,Charles N'Zogbia,75,2013
208,Łukasz Fabiański,75,2013
209,Steven Naismith,75,2013
210,Fernando Amorebieta,75,2013
211,Steven Taylor,75,2013
212,William Kvist,75,2013
213,Antonio NocerinoL,75,2013
214,Robert Snodgrass,75,2013
215,Mark Noble,75,2013
216,Mike Williamson,75,2013
217,Alexander Tettey,75,2013
218,Steven Davis,75,2013
219,Wes Hoolahan,75,2013
220,David Marshall,75,2013
221,Leon Britton,75,2013
222,Darren Fletcher,75,2013
223,Steve Sidwell,75,2013
224,Marouane Chamakh,75,2013
225,Marco Borriello,75,2013
226,Sascha Riether,75,2013
227,Wayne Routledge,75,2013
228,Mahamadou Diarra,75,2013
229,Kevin Nolan,75,2013
230,Matthew Etherington,75,2013
231,Wes Brown,75,2013
232,John O'Shea,75,2013
233,Shay Given,75,2013
234,Joe Cole,75,2013
235,Luke Shaw,74,2013
236,Tomas Kalas,74,2013
237,Matthew Lowton,74,2013
238,Jordi Amat,74,2013
239,Andros Townsend,74,2013
240,Nathaniel Clyne,74,2013
241,Tom Cleverley,74,2013
242,Jonjo Shelvey,74,2013
243,Jake Livermore,74,2013
244,Oussama Assaidi,74,2013
245,Libor Kozak,74,2013
246,Joel Ward,74,2013
247,Gylfi Sigurdsson,74,2013
248,Martin Olsson,74,2013
249,Martin Kelly,74,2013
250,Fabian Delph,74,2013
251,Mile Jedinak,74,2013
252,Aly Cissokho,74,2013
253,Sung-Yueng Ki,74,2013
254,Craig Gardner,74,2013
255,Jozy Altidore,74,2013
256,Nathan Dyer,74,2013
257,Keiren Westwood,74,2013
258,Ignacio Scocco,74,2013
259,Jay Rodriguez,74,2013
260,Ryan Bertrand,74,2013
261,Lee Cattermole,74,2013
262,Oscar Ustari,74,2013
263,Curtis Davies,74,2013
264,Karim El Ahmadi,74,2013
265,Ashkan Dejagah,74,2013
266,Yoan Gouffran,74,2013
267,Antolin Alcaraz,74,2013
268,Kieran Richardson,74,2013
269,Diego Lugano,74,2013
270,Michael Turner,74,2013
271,Chris Brunt,74,2013
272,Damien Duff,74,2013
273,Darren Bent,74,2013
274,Julian Speroni,74,2013
275,Allan McGregor,74,2013
276,Joseph Yobo,74,2013
277,Kim Kallstrom,74,2013
278,James Collins,74,2013
279,John Arne Riise,74,2013
280,Adnan Januzaj,73,2013
281,James Ward-Prowse,73,2013
282,Jores Okore,73,2013
283,Santiago Vergini,73,2013
284,Thievy Bifouma,73,2013
285,Valentin Roberge,73,2013
286,John Guidetti,73,2013
287,Nathan Redmond,73,2013
288,Matěj VydraL,73,2013
289,Pajtim Kasami,73,2013
290,Andreas Weimann,73,2013
291,Mohamed Diame,73,2013
292,Alexander Buttner,73,2013
293,Juan Cala,73,2013
294,Jonathan Howson,73,2013
295,Ciaran Clark,73,2013
296,David Stockdale,73,2013
297,Anthony Pilkington,73,2013
298,James Tomkins,73,2013
299,Graham Dorrans,73,2013
300,Liam Bridcutt,73,2013
301,Danny Rose,73,2013
302,Hugo Rodallega,73,2013
303,Gabriel Agbonlahor,73,2013
304,Glenn Whelan,73,2013
305,Roland Lamah,73,2013
306,James Morrison,73,2013
307,Russell Martin,73,2013
308,Peter Whittingham,73,2013
309,Andy Wilkinson,73,2013
310,Kenwyne Jones,73,2013
311,Sylvain Marveaux,73,2013
312,Charlie Adam,73,2013
313,Bradley Johnson,73,2013
314,Jonas Gutierrez,73,2013
315,Zoltan Gera,73,2013
316,Garrido,73,2013
317,Gareth McAuley,73,2013
318,Tony Hibbert,73,2013
319,Gerhard Tremmel,73,2013
320,Ryan Taylor,73,2013
321,Jussi Jaaskelainen,73,2013
322,Johan Elmander,73,2013
323,Ben Davies,72,2013
324,Jack Butland,72,2013
325,Robbie Brady,72,2013
326,Thomas Ince,72,2013
327,Wilfried Zaha,72,2013
328,Luis Alberto,72,2013
329,Alexander Kačaniklic,72,2013
330,Connor Wickham,72,2013
331,Ahmed Elmohamady,72,2013
