,Season,Player,Age,Sellingteam,Buyingteam,Marketvalue,Fee
1172,2017,Ángelo Henriquez,23,Dinamo Zagreb,Atlas,2.7,1.35
1173,2017,Federico Mancuello,28,Flamengo,Cruzeiro,2.7,1.35
1174,2017,Vyacheslav Karavaev,22,Sparta Praha,Vitesse,2.52,1.35
1175,2017,Alexander Scholz,25,Standard Liege,Club Brugge,2.25,1.35
1176,2017,Diogo Barbosa,25,Coimbra-MG,Palmeiras,2.25,1.35
1177,2017,Fabian Frei,29,1.FSV Mainz 05,FC Basel,2.03,1.35
1178,2017,Alejandro Silva,28,Lanus,Montreal Impact,1.8,1.35
1179,2017,Konstantin Rausch,27,1. FC Koln,Dinamo Moscow,1.8,1.35
1180,2017,Igor Sergeev,24,Pakhtakor,Al-Dhafra SCC,1.62,1.35
1181,2017,Jean,22,EC Bahia,Sao Paulo,1.58,1.35
1182,2017,Ante Erceg,28,Hajduk Split,Shabab Dubai,1.58,1.35
1183,2017,Erick Torres,25,Houston,UNAM Pumas,1.35,1.35
1184,2017,Anton Zabolotny,26,Tosno,Zenit S-Pb,1.35,1.35
1185,2017,Ivan Tomecak,28,KV Mechelen,Club Brugge,1.08,1.35
1186,2017,Javi Fuego,34,Espanyol,Villarreal,0.9,1.35
1187,2017,Adis Jahovic,30,Goztepe,Konyaspor,0.9,1.35
1188,2017,Juninho Capixaba,20,EC Bahia,Corinthians,0.81,1.35
1189,2017,Ondrej Mihalik,20,FK Jablonec,AZ Alkmaar,0.765,1.35
1190,2017,Vitalie Damascan,18,Sheriff,Torino,0.765,1.35
1191,2017,Nikolas Spalek,20,MSK Zilina,Brescia,0.495,1.35
1192,2017,Dennis Srbeny,23,SC Paderborn,Norwich,0.36,1.35
1193,2017,Kaloyan Krastev,19,Slavia Sofia,Bologna U19,0.18,1.35
1194,2017,Alessandro Tripaldelli,18,Juventus U19,Sassuolo U19,68,1.35
1195,2017,Alan Dzabana,20,Olymp. Lyon B,AC Le Havre,0,1.35
1196,2017,Mitchell Langerak,29,Levante,Nagoya Grampus,0.9,1.31
1197,2017,Andre Poko,25,Karabukspor,Goztepe,1.58,1.26
1198,2017,Jack Hendry,22,Dundee FC,Celtic,0.225,1.23
1199,2017,Florin Nita,30,FCSB,Sparta Praha,1.8,1.22
1200,2017,Thibault Moulin,28,Legia Warszawa,PAOK Salonika,1.49,1.17
1201,2017,Sigurd Rosted,23,Sarpsborg 08,KAA Gent,0.63,1.17
1202,2017,Artur,21,Sao Paulo,Columbus Crew,0.72,1.14
1203,2017,Anton Nedyalkov,24,CSKA Sofia,"FC Dallas	",0.54,1.14
1204,2017,Bruno Silva,31,Botafogo,Cruzeiro,1.8,1.13
1205,2017,Emerson Santos,22,Botafogo,Palmeiras,1.35,1.13
1206,2017,Diogo Figueiras,26,Olympiacos,Braga,2.7,1.13
1207,2017,Kawin Thamsatchanan,27,Muangthong Utd.,OH Leuven,0.36,1.13
1208,2017,Yeferson Soteldo,20,Huachipato FC,U. de Chile,1.8,1.11
1209,2017,Vladimir Hernandez,28,Santos FC,Atl. Nacional,0.81,1.1
1210,2017,Joao Mario,25,Inter,West Ham,23.4,1.08
1211,2017,Emanuel Reynoso,22,CA Talleres,Boca Juniors,4.05,1.08
1212,2017,Jucilei,29,SD Luneng,Sao Paulo,3.6,1.08
1213,2017,Javier Correa,25,Godoy Cruz,Colon,2.25,1.08
1214,2017,Franck Ohandza,26,Hajduk Split,SZ FC,1.22,1.08
1215,2017,Yohan Croizet,25,KV Mechelen,Kansas,1.08,1.08
1216,2017,Magnus Eriksson,27,Djurgarden,Quakes,0.99,1.08
1217,2017,Fernando Monetti,28,Lanus,Atl. Nacional,2.25,1.04
1218,2017,Marvin Compper,32,RB Leipzig,Celtic,0.9,1.03
1219,2017,Lucas Holer,23,SV Sandhausen,SC Freiburg,0.81,0.99
1220,2017,Liam Walsh,20,Everton U23,Bristol City,0.225,0.99
1221,2017,Anthony Blondell,23,Monagas SC,Vancouver,0.54,0.983
1222,2017,Kevin Deeromram,20,Ratchaburi FC,Port FC,90,0.923
1223,2017,Gerard Deulofeu,23,FC Barcelona,Watford,12.6,0.9
1224,2017,Mauricio Lemos,22,UD Las Palmas,Sassuolo,5.4,0.9
1225,2017,Iuri Medeiros,23,Sporting CP,Genoa,4.5,0.9
1226,2017,Yuto Nagatomo,31,Inter,Galatasaray,3.15,0.9
1227,2017,Daniel Bessa,25,Hellas Verona,Genoa,3.15,0.9
1228,2017,Sebastian Langkamp,30,Hertha BSC,Werder Bremen,2.7,0.9
1229,2017,Guelor Kanga,27,Red Star,Sparta Praha,2.7,0.9
1230,2017,Gaston Gimenez,26,Godoy Cruz,Estudiantes,2.48,0.9
1231,2017,Paul Baysse,29,Malaga CF,G. Bordeaux,2.25,0.9
1232,2017,Lucas Villafanez,26,Panathinaikos,Alanyaspor,1.8,0.9
1233,2017,Ruben Rochina,26,Rubin Kazan,Levante,1.8,0.9
1234,2017,Francesco Margiotta,24,Juventus,Lausanne-Sport,1.58,0.9
1235,2017,Damien Marcq,29,KAA Gent,Zulte Waregem,1.53,0.9
1236,2017,Alexandru Ionita,23,Astra Giurgiu,CFR Cluj,1.35,0.9
1237,2017,Roy Beerens,30,Reading,Vitesse,1.35,0.9
1238,2017,Sardor Rashidov,26,Al-Jazira,Loko Tashkent,1.35,0.9
1239,2017,Ibrahima Seck,28,Waasl.-Beveren,KRC Genk,1.35,0.9
1240,2017,Simone Romagnoli,27,Carpi,FC Empoli,1.26,0.9
1241,2017,Stiven Mendoza,25,Corinthians,SC Amiens,1.13,0.9
1242,2017,Felix Bastians,29,VfL Bochum,TJ Teda,1.08,0.9
1243,2017,German Mera,27,Club Brugge,KV Mechelen,0.9,0.9
1244,2017,Robert Skov,21,Silkeborg IF,FC Copenhagen,0.9,0.9
1245,2017,Armando Sadiku,26,Legia Warszawa,Levante,0.81,0.9
1246,2017,Simone Rapp,25,FC Thun,Lausanne-Sport,0.81,0.9
1247,2017,Cedric Teuchert,20,1.FC Nuremberg,FC Schalke 04,0.72,0.9
1248,2017,Tomas Chory,22,Sigma Olomouc,Viktoria Plzen,0.63,0.9
1249,2017,Andrej Lukic,23,NK Osijek,Braga,0.54,0.9
